dUtime,dStime,dUser,dSystem,dIdle,dNice,dIowait,dIrq,dSoftirq,dSteal,dGuest,dGuest_nice,sys_usage,proc_usage
0,0,0,0,600,0,0,0,0,0,0,0,0,0
0,0,0,0,600,0,1,0,0,0,0,0,0,0
0,0,3,0,596,0,0,0,0,0,0,0,0.005008347245409015,0
0,0,0,0,599,0,0,0,0,0,0,0,0,0
0,0,0,0,599,0,0,0,0,0,0,0,0,0
0,0,0,0,600,0,0,0,0,0,0,0,0,0
0,0,2,0,596,0,0,0,0,0,0,0,0.0033444816053511705,0
0,0,0,0,600,0,0,0,0,0,0,0,0,0
0,0,0,0,600,0,0,0,0,0,0,0,0,0
0,0,0,0,599,0,0,0,0,0,0,0,0,0
0,0,2,0,597,0,0,0,0,0,0,0,0.00333889816360601,0
0,0,0,0,599,0,0,0,0,0,0,0,0,0
0,0,0,0,600,0,0,0,0,0,0,0,0,0
0,0,0,0,600,0,0,0,0,0,0,0,0,0
0,0,1,0,598,0,0,0,0,0,0,0,0.001669449081803005,0
0,0,0,0,600,0,0,0,0,0,0,0,0,0
0,0,0,0,600,0,0,0,0,0,0,0,0,0
0,0,0,0,600,0,0,0,0,0,0,0,0,0
0,0,1,0,599,0,0,0,0,0,0,0,0.0016666666666666668,0
0,0,0,0,599,0,0,0,0,0,0,0,0,0
0,0,0,0,599,0,0,0,0,0,0,0,0,0
0,1,0,0,599,0,0,0,0,0,0,0,0,0.001669449081803005
0,0,1,0,598,0,1,0,0,0,0,0,0.0016666666666666668,0
0,0,0,0,600,0,0,0,0,0,0,0,0,0
0,0,2,0,598,0,0,0,0,0,0,0,0.0033333333333333335,0
0,0,0,0,600,0,0,0,0,0,0,0,0,0
0,0,1,0,598,0,0,0,0,0,0,0,0.001669449081803005,0
0,0,0,0,600,0,0,0,0,0,0,0,0,0
0,0,1,0,599,0,0,0,0,0,0,0,0.0016666666666666668,0
0,1,0,0,599,0,0,0,0,0,0,0,0,0.001669449081803005
0,0,0,0,598,0,1,0,0,0,0,0,0,0
0,0,0,0,600,0,0,0,0,0,0,0,0,0
0,0,0,0,600,0,0,0,0,0,0,0,0,0
0,0,0,0,599,0,0,0,0,0,0,0,0,0
0,0,1,0,599,0,0,0,0,0,0,0,0.0016666666666666668,0
0,0,0,0,600,0,0,0,0,0,0,0,0,0
0,0,0,0,600,0,0,0,0,0,0,0,0,0
0,0,0,0,600,0,1,0,0,0,0,0,0,0
0,0,1,0,598,0,0,0,0,0,0,0,0.001669449081803005,0
0,0,0,0,599,0,0,0,0,0,0,0,0,0
0,0,0,0,600,0,0,0,0,0,0,0,0,0
0,0,0,0,600,0,0,0,0,0,0,0,0,0
0,1,1,0,599,0,0,0,0,0,0,0,0.0016666666666666668,0.0016666666666666668
0,0,0,0,599,0,0,0,0,0,0,0,0,0
0,0,0,0,600,0,0,0,0,0,0,0,0,0
0,0,0,0,599,0,0,0,0,0,0,0,0,0
0,0,1,0,599,0,0,0,0,0,0,0,0.0016666666666666668,0
0,0,0,0,600,0,0,0,0,0,0,0,0,0
0,0,0,0,600,0,0,0,0,0,0,0,0,0
0,0,0,0,600,0,0,0,0,0,0,0,0,0
0,0,1,0,599,0,0,0,0,0,0,0,0.0016666666666666668,0
